"REG_ID","Regions","IND","Indicator","MEAS","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"UKC","North East England","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,80,,
"US41","Oregon","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,67.6,,
"FI19","Western Finland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,68.4,,
"CL07","Maule","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,78.2,,
"TR61","Mediterranean region - West","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.7,,
"JPJ","Kyushu, Okinawa","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,50.9,,
"US37","North Carolina","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77.8,,
"DE5","Bremen ","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.5,,
"UKI","Greater London","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,92,,
"DEE","Saxony-Anhalt","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,84,,
"ES30","Madrid","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,8.3,,
"SE21","Småland with Islands","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,85,,
"ITF1","Abruzzo","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.9,,
"US44","Rhode Island","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,82.9,,
"ES53","Balearic Islands","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.9,,
"FR21","Champagne-Ardenne","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.5,,
"EE006","Central Estonia","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.2,,
"ME02","Baja California Norte","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,73.8,,
"UKM","Scotland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,71.1,,
"KOR","Korea","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,23.7,,
"ME29","Tlaxcala","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,63.9,,
"AT11","Burgenland (AT)","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,80,,
"IL06","Southern District","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,80.8,,
"FI20","Åland","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,4.1,,
"HU32","Northern Great Plain","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,68,,
"CZ08","Moravia-Silesia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77,,
"DEC","Saarland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,72.5,,
"ME11","Guanajuato","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,27.5,,
"FR43","Franche-Comté","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.4,,
"SVN","Slovenia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,80.4,,
"US34","New Jersey","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,80.3,,
"FR83","Corsica","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.9,,
"ITF1","Abruzzo","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,69,,
"US10","Delaware","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,78.4,,
"US49","Utah","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,3.6,,
"TR33","Northern Aegean","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,32,,
"IS02","Other Regions","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,82.7,,
"JPF","Toukai","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,74,,
"PT30","Madeira (PT)","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,5,,
"CH05","Eastern Switzerland","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.8,,
"USA","United States","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78.1,,
"ES11","Galicia","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,61.5,,
"FR24","Centre (FR)","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.3,,
"SE32","Central Norrland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,85.8,,
"NO01","Oslo and Akershus","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.3,,
"IL03","Haifa District","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,19.6,,
"ITF5","Basilicata ","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,69.5,,
"PL33","Swietokrzyskie","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.7,,
"ME22","Queretaro","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,75.2,,
"CL11","Aysén","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,41.7,,
"IE01","Border, Midland and Western","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,74,,
"US28","Mississippi","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,5.9,,
"ES24","Aragon","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,72.6,,
"CA46","Manitoba","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,81.3,,
"TRB1","Eastern Anatolia - West","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,85.6,,
"SE11","Stockholm","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,85.7,,
"US23","Maine","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,79.2,,
"AT13","Vienna","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.9,,
"PL12","Mazovia","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,58.7,,
"FR61","Aquitaine","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,83.1,,
"CA10","Newfoundland and Labrador","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.5,,
"AT34","Vorarlberg","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82,,
"SE33","Upper Norrland","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,3.5,,
"JPN","Japan","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,83,,
"ES13","Cantabria","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,72,,
"US56","Wyoming","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,78.3,,
"ME16","Michoacan","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.8,,
"US17","Illinois","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,79.3,,
"CZ02","Central Bohemian Region","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,16.6,,
"FIN","Finland","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,89,,
"US40","Oklahoma","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,71.1,,
"ITH1","Province of Bolzano-Bozen","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,16.6,,
"ME32","Zacatecas","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,61.4,,
"FR63","Limousin","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,72,,
"KR03","Gyeonbuk Region","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,22,,
"ME09","Federal District (MX)","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,67.2,,
"UKJ","South East England","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,68.5,,
"CA24","Quebec","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,66.4,,
"AU1","New South Wales","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.2,,
"US21","Kentucky","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,59.3,,
"JPG","Kansai region","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,51.3,,
"CL14","Los Rios","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,49.9,,
"CH05","Eastern Switzerland","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.7,,
"US45","South Carolina","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,64.7,,
"PL11","Lodzkie","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,66,,
"ME28","Tamaulipas","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,37.2,,
"UKF","East Midlands","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,81.2,,
"CA60","Yukon","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,76,,
"ME05","Coahuila","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,34.6,,
"CL10","Los Lagos","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,23,,
"EE006","Central Estonia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,75.7,,
"AT34","Vorarlberg","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.5,,
"TR31","Izmir","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,88.3,,
"ES63","Ceuta ","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.7,,
"US53","Washington","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,4.1,,
"FR24","Centre (FR)","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,10.9,,
"ME26","Sonora","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,57.8,,
"AT12","Lower Austria","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,81,,
"SE31","North Middle Sweden","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78,,
"NO04","Agder and Rogaland","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,81.9,,
"UKL","Wales","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,85,,
"PL33","Swietokrzyskie","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77.1,,
"US02","Alaska","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,3,,
"CA61","Northwest Territories","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,2.5,,
"PRT","Portugal","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,56.9,,
"NLD","Netherlands","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.6,,
"CZE","Czech Republic","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,76,,
"LU00","Luxembourg","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,81.9,,
"DE2","Bavaria","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,81.3,,
"EST","Estonia","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,64.2,,
"FI1D","Eastern and Northern Finland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,63.7,,
"ITG1","Sicily","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,62,,
"CL04","Coquimbo","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,78.5,,
"TR51","Ankara","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,15.2,,
"AU7","Northern Territory (NT)","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,79,,
"ITC2","Aosta Valley","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,83,,
"US01","Alabama","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,61.9,,
"DEB","Rhineland-Palatinate","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,87,,
"US10","Delaware","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.7,,
"ITF4","Apulia","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,66,,
"US46","South Dakota","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.4,,
"SWE","Sweden","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,87,,
"US31","Nebraska","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.8,,
"HUN","Hungary","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,16.2,,
"DEF","Schleswig-Holstein","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,73.1,,
"PL41","Greater Poland","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77.2,,
"IE02","Southern and Eastern","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,69.6,,
"JPI","Shikoku","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,59,,
"DK02","Zealand","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.9,,
"ITG2","Sardinia","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,68.3,,
"ME19","Nuevo Leon","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,76,,
"SE22","South Sweden","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,84.4,,
"PL61","Kuyavian-Pomerania","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,46.4,,
"KR06","Gangwon Region","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,80.4,,
"IL06","Southern District","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,21.6,,
"FR72","Auvergne","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.2,,
"TR83","Middle Black Sea","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,35,,
"ES21","Basque Country","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,69,,
"ME08","Chihuahua","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,42.9,,
"FR30","Nord-Pas-de-Calais","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.8,,
"ES43","Extremadura","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.3,,
"HU33","Southern Great Plain","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,58.3,,
"ME31","Yucatan","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,29.5,,
"DE8","Mecklenburg-Vorpommern","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.6,,
"US25","Massachusetts","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.2,,
"PT17","Lisbon","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,7.2,,
"POL","Poland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,50.9,,
"US13","Georgia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77.2,,
"HU23","Southern Transdanubia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,75.2,,
"ITI2","Umbria","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,9.9,,
"TRA1","Northeastern Anatolia - West","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,86.6,,
"SK02","West Slovakia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,76.8,,
"CZ05","Northeast","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.5,,
"ESP","Spain","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,73,,
"ME12","Guerrero","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,60.1,,
"CA13","New Brunswick","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78.1,,
"ITI2","Umbria","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,83.3,,
"FR53","Poitou-Charentes","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,77,,
"CH02","Espace Mittelland","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,12.5,,
"NO04","Agder and Rogaland","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,84,,
"US20","Kansas","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78.8,,
"DE2","Bavaria","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.5,,
"TUR","Türkiye","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,77,,
"ME06","Colima","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,64.3,,
"ES23","La Rioja","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,69,,
"US53","Washington","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.9,,
"JPC","Northern-Kanto, Koshin","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.9,,
"ME13","Hidalgo","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.8,,
"FR71","Rhône-Alpes","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,82.4,,
"IS01","Capital Region","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,93,,
"BE2","Flemish Region","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,81.6,,
"TRC2","Southeastern Anatolia - Middle","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,22,,
"HUN","Hungary","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,75.7,,
"US48","Texas","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,53.8,,
"FR10","Ile de France","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78.2,,
"FR83","Corsica","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.5,,
"NO01","Oslo and Akershus","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,5.6,,
"HU10","Central Hungary","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,66.3,,
"ME02","Baja California Norte","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,51.5,,
"US46","South Dakota","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,79.5,,
